                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     48,               0.024752,               0.012126,               0.011138,              0.0022336,                0.92625,                0.83611,                0.88652,                0.58973,                0.90833,                0.84655,                0.89717,                0.65579,               0.031661,               0.013963,              0.0093231,              0.0043739,              0.0041837,              0.0041837,              0.0041837
                     49,               0.023888,                0.01202,               0.010491,              0.0022189,                 0.9274,                0.80019,                0.86949,                0.63229,                  0.928,                0.81566,                0.87166,                0.66802,               0.030069,               0.014145,              0.0095615,               0.005302,                0.00406,                0.00406,                0.00406
                     50,               0.024327,               0.012236,              0.0099485,              0.0021103,                0.94138,                0.80065,                0.85849,                0.61182,                0.93684,                0.80683,                0.86692,                0.68275,               0.030415,               0.014731,              0.0099201,              0.0058937,              0.0039362,              0.0039362,              0.0039362
                     51,               0.023155,               0.012227,               0.010671,              0.0024068,                0.95541,                0.80039,                0.85871,                0.61924,                0.94692,                0.81312,                0.86046,                0.67068,               0.030168,               0.014933,              0.0097256,              0.0057117,              0.0038125,              0.0038125,              0.0038125
                     52,               0.023609,               0.011958,                 0.0106,              0.0023322,                0.95625,                0.81438,                0.87742,                0.63707,                0.95625,                0.81438,                0.86945,                0.67202,               0.030067,               0.014179,              0.0094299,              0.0051464,              0.0036888,              0.0036888,              0.0036888
                     53,               0.022834,               0.011218,               0.010116,              0.0019289,                0.96282,                0.81077,                0.88116,                0.64423,                0.96282,                0.81077,                0.86797,                0.67882,               0.030676,               0.014299,              0.0094528,              0.0051613,               0.003565,               0.003565,               0.003565
                     54,               0.023082,               0.012086,                0.00996,              0.0018355,                0.84708,                0.82508,                0.87118,                0.62831,                0.87849,                0.83254,                0.87838,                0.68467,               0.030898,               0.013931,              0.0095596,              0.0052151,              0.0034413,              0.0034413,              0.0034413
                     55,               0.022572,               0.011924,               0.010782,                0.00229,                0.89414,                0.85318,                0.87837,                0.61712,                0.91417,                0.82485,                 0.8601,                0.69238,               0.031012,               0.013985,              0.0093994,              0.0049038,              0.0033175,              0.0033175,              0.0033175
                     56,               0.022423,               0.011705,               0.010487,              0.0018036,                0.91644,                0.87507,                0.88994,                0.65487,                0.89753,                0.85459,                0.87924,                0.69003,               0.030516,               0.013902,              0.0089426,              0.0047298,              0.0031938,              0.0031938,              0.0031938
                     57,               0.020385,               0.012226,              0.0099478,              0.0015937,                0.91388,                0.87611,                0.89454,                0.65729,                0.96109,                0.81452,                0.88363,                0.66873,               0.030326,                0.01407,              0.0091324,              0.0045914,                0.00307,                0.00307,                0.00307
