               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.027395,            0.012362,           0.0040854,             0.90945,             0.83599,             0.89527,             0.58786,            0.028911,           0.0091695,           0.0049875,           0.0034413,           0.0034413,           0.0034413
                  55,            0.026266,            0.012345,           0.0035432,             0.84034,             0.84608,             0.88972,             0.56463,            0.030509,           0.0092616,           0.0052109,           0.0033175,           0.0033175,           0.0033175
                  56,            0.025525,            0.011309,           0.0036176,             0.86816,             0.89121,             0.90743,             0.58453,             0.02955,           0.0092468,           0.0044679,           0.0031938,           0.0031938,           0.0031938
                  57,              0.0265,            0.011598,           0.0029529,             0.86361,             0.88145,             0.92006,             0.57825,            0.028849,           0.0090775,           0.0043201,             0.00307,             0.00307,             0.00307
                  58,            0.025281,            0.012581,           0.0032905,             0.92018,             0.86377,             0.94028,             0.61661,            0.027769,           0.0087997,           0.0042432,           0.0029462,           0.0029462,           0.0029462
                  59,            0.025741,            0.011058,           0.0027887,             0.87729,             0.88902,             0.94738,             0.63691,            0.026104,           0.0087931,           0.0044678,           0.0028225,           0.0028225,           0.0028225
                  60,            0.025076,             0.01135,           0.0036853,             0.87343,             0.86621,             0.93388,             0.60884,            0.028086,           0.0090346,           0.0050912,           0.0026987,           0.0026987,           0.0026987
                  61,            0.024866,            0.012445,           0.0030794,             0.91941,             0.87632,             0.92697,             0.61256,            0.027099,           0.0086675,           0.0042262,            0.002575,            0.002575,            0.002575
                  62,            0.024108,             0.01168,           0.0026283,             0.92264,             0.89155,             0.93823,             0.61665,            0.026658,           0.0087694,            0.004521,           0.0024513,           0.0024513,           0.0024513
                  63,            0.023748,            0.012136,           0.0032653,             0.90793,             0.87135,             0.92812,             0.60553,            0.027753,             0.00868,           0.0051072,           0.0023275,           0.0023275,           0.0023275
                  64,            0.023243,            0.011495,           0.0026577,             0.87159,             0.86716,             0.90162,              0.6105,            0.028118,           0.0087467,           0.0046935,           0.0022038,           0.0022038,           0.0022038
                  65,            0.022548,            0.011099,           0.0026371,             0.88041,              0.8768,             0.92043,             0.63669,            0.027449,           0.0088314,           0.0045971,             0.00208,             0.00208,             0.00208
                  66,            0.023359,            0.011429,           0.0024396,             0.91511,             0.88403,             0.93442,             0.61773,             0.02743,           0.0088037,           0.0049071,           0.0019563,           0.0019563,           0.0019563
                  67,            0.021965,            0.011369,           0.0024064,             0.92187,             0.88185,             0.93609,             0.60787,            0.026679,           0.0086426,           0.0048281,           0.0018325,           0.0018325,           0.0018325
                  68,            0.022577,            0.011508,           0.0024285,             0.93459,             0.86925,             0.93786,             0.61172,            0.026663,           0.0084652,           0.0044166,           0.0017087,           0.0017087,           0.0017087
                  69,            0.022084,            0.010806,           0.0023273,             0.91538,              0.8865,              0.9356,             0.60954,            0.026894,           0.0085173,           0.0042624,            0.001585,            0.001585,            0.001585
                  70,            0.021655,            0.011662,           0.0022804,             0.92122,             0.88052,              0.9357,              0.6372,            0.026157,           0.0085607,           0.0046819,           0.0014612,           0.0014612,           0.0014612
                  71,            0.020751,            0.011061,           0.0017792,             0.89582,             0.87892,             0.92781,             0.61823,            0.026888,           0.0087211,           0.0050315,           0.0013375,           0.0013375,           0.0013375
                  72,            0.021445,            0.010924,           0.0028395,             0.90044,             0.87228,             0.93089,             0.62141,            0.026398,           0.0086702,           0.0051457,           0.0012138,           0.0012138,           0.0012138
                  73,            0.021405,            0.010381,           0.0022568,             0.91535,             0.86897,             0.93696,             0.64914,            0.025279,           0.0085855,           0.0047419,             0.00109,             0.00109,             0.00109
                  74,            0.021079,             0.01147,           0.0024808,             0.91838,             0.87681,             0.93999,             0.64229,            0.025361,           0.0085387,           0.0040167,          0.00096625,          0.00096625,          0.00096625
                  75,            0.021029,            0.011118,           0.0026993,             0.91299,             0.87935,             0.94059,             0.64489,            0.025293,           0.0086073,           0.0035594,           0.0008425,           0.0008425,           0.0008425
                  76,            0.020468,            0.010753,           0.0020539,             0.92322,             0.89407,             0.94095,             0.62573,            0.026099,           0.0087316,           0.0033442,          0.00071875,          0.00071875,          0.00071875
                  77,            0.020993,            0.011371,           0.0026889,             0.90595,             0.88618,             0.94179,             0.63792,            0.025783,           0.0088147,           0.0034271,            0.000595,            0.000595,            0.000595
                  78,            0.020379,            0.010554,           0.0019676,             0.91436,             0.87385,             0.93976,             0.64079,            0.025791,           0.0088683,           0.0035404,          0.00047125,          0.00047125,          0.00047125
                  79,            0.019903,            0.010927,           0.0025356,             0.92841,             0.86139,             0.93995,             0.63861,            0.025638,           0.0088789,           0.0034043,           0.0003475,           0.0003475,           0.0003475
