                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                0.54166,                0.53288,                0.86813,                0.85404,                0.80064,                0.89066,                0.66674,                 0.8925,                0.71389,                 1.1256,             0.00061554,             0.00061554,             0.00061554
                     48,                0.56433,                0.54561,                0.88664,                0.92358,                0.79859,                0.90946,                0.70353,                0.83087,                0.62811,                 1.0938,             0.00059786,             0.00059786,             0.00059786
                     49,                0.53203,                0.52785,                0.87414,                0.82807,                0.87159,                0.92477,                0.69747,                0.82896,                0.62319,                 1.0931,             0.00058017,             0.00058017,             0.00058017
                     50,                0.52643,                0.51053,                0.86857,                0.88536,                0.85466,                0.93632,                 0.7363,                0.76851,                0.57992,                 1.0579,             0.00056249,             0.00056249,             0.00056249
                     51,                0.52354,                0.52996,                0.85661,                0.90031,                0.89058,                0.94862,                0.74311,                0.77307,                0.57357,                 1.0594,             0.00054481,             0.00054481,             0.00054481
                     52,                0.48913,                 0.5274,                0.85882,                0.92228,                0.82868,                0.93493,                0.72723,                0.79829,                0.59676,                 1.0637,             0.00052712,             0.00052712,             0.00052712
                     53,                0.50338,                0.53383,                0.85991,                0.95098,                0.85694,                0.92509,                0.73276,                0.78566,                0.57788,                 1.0709,             0.00050944,             0.00050944,             0.00050944
                     54,                0.50015,                0.51686,                  0.867,                0.96813,                0.86629,                0.93162,                0.74435,                0.77862,                0.57821,                 1.0795,             0.00049175,             0.00049175,             0.00049175
                     55,                 0.5028,                0.51039,                0.85091,                0.92887,                0.88804,                  0.923,                0.71749,                0.80384,                0.59057,                 1.0932,             0.00047407,             0.00047407,             0.00047407
                     56,                0.51511,                0.51092,                 0.8529,                0.88964,                0.85552,                0.92806,                0.72678,                 0.7935,                0.59598,                 1.0873,             0.00045639,             0.00045639,             0.00045639
                     57,                0.50526,                0.48981,                0.85371,                0.91443,                0.89734,                0.95106,                0.72689,                 0.7953,                 0.5822,                 1.0797,              0.0004387,              0.0004387,              0.0004387
                     58,                0.48058,                0.45599,                 0.8408,                0.91504,                0.91563,                0.95905,                0.73582,                0.81014,                0.56898,                 1.0886,             0.00042102,             0.00042102,             0.00042102
                     59,                0.48289,                0.49004,                0.85106,                0.89252,                 0.8848,                0.95207,                0.73634,                0.81064,                0.56967,                 1.0901,             0.00040334,             0.00040334,             0.00040334
                     60,                0.45183,                 0.4775,                 0.8436,                0.88124,                0.86194,                0.93366,                0.71651,                0.77838,                0.61114,                 1.0637,             0.00038565,             0.00038565,             0.00038565
                     61,                 0.4839,                0.46823,                0.85245,                0.88164,                0.84644,                0.91863,                0.70491,                0.79595,                0.60271,                 1.0601,             0.00036797,             0.00036797,             0.00036797
                     62,                0.46323,                0.45215,                0.84397,                0.85084,                0.92406,                0.94527,                0.70809,                 0.7777,                0.57237,                 1.0467,             0.00035028,             0.00035028,             0.00035028
                     63,                0.47094,                0.45191,                 0.8522,                0.87189,                0.90317,                0.94124,                 0.7117,                0.77593,                0.57055,                 1.0388,              0.0003326,              0.0003326,              0.0003326
                     64,                0.45286,                0.45491,                0.84797,                0.93362,                0.80663,                0.93758,                 0.7144,                0.78819,                0.57794,                 1.0576,             0.00031492,             0.00031492,             0.00031492
                     65,                0.43906,                0.44292,                0.85105,                0.88177,                0.82885,                0.91967,                 0.6989,                0.78326,                0.59205,                 1.0611,             0.00029723,             0.00029723,             0.00029723
                     66,                0.44079,                0.42245,                0.83753,                0.83955,                0.84017,                 0.8959,                0.67154,                0.79433,                0.61722,                 1.0612,             0.00027955,             0.00027955,             0.00027955
                     67,                0.43562,                0.43563,                0.83596,                0.85347,                0.84306,                0.90434,                0.68176,                0.78462,                0.61742,                 1.0512,             0.00026186,             0.00026186,             0.00026186
                     68,                0.44111,                0.41817,                0.84093,                0.91524,                0.81783,                0.89759,                0.67689,                0.76869,                0.61543,                 1.0446,             0.00024418,             0.00024418,             0.00024418
                     69,                0.42838,                0.42603,                0.83574,                0.85799,                0.85813,                0.91467,                0.68916,                0.78233,                0.61866,                 1.0514,              0.0002265,              0.0002265,              0.0002265
                     70,                0.44208,                0.41104,                0.83295,                0.88884,                0.87619,                0.92675,                0.71178,                0.76527,                0.58698,                 1.0471,             0.00020881,             0.00020881,             0.00020881
                     71,                  0.469,                 0.4432,                0.84418,                0.86822,                0.87891,                0.92077,                 0.7147,                0.74936,                0.59103,                  1.042,             0.00019113,             0.00019113,             0.00019113
                     72,                0.43348,                0.42637,                0.82458,                0.88895,                0.86916,                0.92408,                0.70438,                0.74881,                0.61826,                 1.0366,             0.00017344,             0.00017344,             0.00017344
                     73,                0.45639,                0.47246,                0.82692,                0.89189,                0.86337,                0.92449,                0.70232,                0.74811,                0.61427,                 1.0275,             0.00015576,             0.00015576,             0.00015576
                     74,                0.42228,                0.41648,                0.82723,                0.90143,                0.86616,                 0.9349,                0.71983,                0.73099,                0.57631,                 1.0108,             0.00013808,             0.00013808,             0.00013808
                     75,                0.42618,                0.40514,                0.81112,                0.91333,                 0.8779,                0.93295,                0.71192,                0.72559,                0.57254,                 1.0007,             0.00012039,             0.00012039,             0.00012039
                     76,                0.41167,                0.40476,                0.82334,                0.92273,                 0.8804,                0.93599,                0.72716,                0.73065,                 0.5519,                 1.0015,             0.00010271,             0.00010271,             0.00010271
                     77,                0.43516,                0.40164,                0.82877,                0.90837,                 0.8799,                0.93326,                0.73069,                0.73698,                0.54343,                 1.0115,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     78,                 0.4143,                 0.3847,                0.82109,                0.90341,                0.88153,                0.93223,                 0.7339,                0.74055,                0.53876,                 1.0223,             6.7342e-05,             6.7342e-05,             6.7342e-05
                     79,                0.42995,                0.39295,                0.83346,                0.91464,                0.87992,                0.93098,                  0.735,                0.74192,                0.54544,                 1.0251,             4.9658e-05,             4.9658e-05,             4.9658e-05
                     80,                0.43273,                0.38299,                0.82194,                0.90815,                0.86384,                0.92592,                0.72997,                0.74398,                0.56316,                 1.0271,             3.1974e-05,             3.1974e-05,             3.1974e-05
