                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     64,                0.02545,               0.013604,               0.012079,              0.0030285,                0.85943,                0.86491,                0.87382,                0.60676,                0.85943,                0.86491,                0.87515,                0.64921,               0.031272,               0.014191,              0.0092945,              0.0069477,              0.0022038,              0.0022038,              0.0022038
                     65,               0.024677,               0.013908,               0.011191,              0.0028834,                0.86363,                0.85488,                0.88081,                0.59179,                0.86363,                0.85488,                0.88819,                0.65237,               0.030327,               0.014471,              0.0095501,              0.0066399,                0.00208,                0.00208,                0.00208
                     66,               0.023709,               0.012999,               0.010647,              0.0029391,                0.93517,                0.81106,                0.88914,                0.64167,                0.93517,                0.81106,                0.89262,                 0.6825,               0.030062,               0.014443,              0.0092487,              0.0054966,              0.0019563,              0.0019563,              0.0019563
                     67,               0.023261,               0.013038,               0.012376,              0.0026527,                0.96115,                0.80414,                0.87608,                0.63833,                0.96115,                0.80414,                 0.8843,                0.66051,                0.02972,               0.014193,              0.0089226,              0.0053867,              0.0018325,              0.0018325,              0.0018325
                     68,               0.021694,               0.012808,               0.010779,              0.0027206,                0.96623,                0.80467,                0.87761,                0.63077,                0.96623,                0.80467,                0.87713,                0.67904,               0.029641,               0.014134,              0.0088911,              0.0054771,              0.0017087,              0.0017087,              0.0017087
                     69,               0.022834,               0.013336,               0.011897,              0.0025022,                0.93452,                0.82735,                0.89348,                 0.6302,                0.92191,                0.81545,                0.87911,                0.65449,               0.029291,               0.014211,              0.0091248,              0.0055138,               0.001585,               0.001585,               0.001585
                     70,                0.02214,               0.013818,               0.011756,              0.0028346,                0.91702,                0.83095,                0.89879,                 0.6338,                0.90353,                0.81905,                0.88439,                0.67225,               0.029611,               0.014139,              0.0089617,              0.0055744,              0.0014612,              0.0014612,              0.0014612
                     71,               0.021975,               0.012595,               0.011253,              0.0021027,                0.93688,                0.83095,                0.89387,                0.63183,                0.93688,                0.83095,                0.89219,                0.67116,                0.02937,               0.013803,              0.0088682,              0.0050148,              0.0013375,              0.0013375,              0.0013375
                     72,               0.021099,               0.012397,               0.011426,               0.002261,                0.94578,                0.82886,                0.88698,                0.62694,                0.94578,                0.82886,                0.89127,                0.66987,               0.028627,               0.013856,               0.008955,              0.0049187,              0.0012138,              0.0012138,              0.0012138
                     73,               0.021536,               0.012852,               0.011224,              0.0019558,                0.94082,                0.82769,                0.88765,                0.63017,                0.94082,                0.82769,                0.89166,                0.65119,               0.028819,               0.013873,              0.0089321,              0.0051006,                0.00109,                0.00109,                0.00109
                     74,                0.02151,               0.013111,               0.011504,              0.0025717,                0.89464,                0.83689,                 0.8855,                 0.6273,                0.89464,                0.83689,                0.88133,                0.66141,               0.029224,               0.013859,              0.0090055,              0.0056248,             0.00096625,             0.00096625,             0.00096625
                     75,               0.021966,               0.012714,               0.010872,              0.0032675,                0.89205,                0.82786,                 0.8829,                 0.6426,                0.89205,                0.82786,                 0.8797,                0.67416,               0.028577,               0.013816,              0.0090036,              0.0062038,              0.0008425,              0.0008425,              0.0008425
                     76,               0.020959,               0.012985,               0.010978,              0.0019866,                0.89147,                0.82776,                0.88102,                0.63906,                0.89147,                0.82776,                 0.8853,                0.68021,               0.028606,               0.013889,               0.008956,              0.0063011,             0.00071875,             0.00071875,             0.00071875
                     77,               0.020822,               0.012954,               0.011644,              0.0021413,                0.88478,                0.82692,                0.89117,                0.64111,                0.89463,                0.83787,                0.88885,                0.68305,               0.028304,               0.013849,              0.0089493,              0.0063137,               0.000595,               0.000595,               0.000595
                     78,               0.019893,               0.012778,               0.010989,              0.0016856,                0.88101,                0.86178,                0.89292,                0.64664,                0.88656,                0.87759,                0.89117,                0.68276,               0.027831,               0.013831,              0.0088263,              0.0065266,             0.00047125,             0.00047125,             0.00047125
                     79,               0.020769,                0.01241,               0.011657,               0.002759,                0.88231,                0.84525,                0.89183,                0.64475,                0.88231,                0.84525,                0.88942,                0.68049,               0.027919,                0.01386,              0.0087442,              0.0065849,              0.0003475,              0.0003475,              0.0003475
                     80,                0.88093,                0.86208,                0.89291,                0.64658,                0.88628,                0.87614,                0.89116,                 0.6827,                0.02783,               0.013822,              0.0088272,              0.0065254
